nodes,c,InnerABC,MKL,time
1,1,,,220.8
1,1,on,,227.4
1,1,,on,73.2
1,1,on,on,203.9
2,1,,,118.2
2,1,on,,121.3
2,1,,on,46.3
2,1,on,on,111.5
4,1,,,54.1
4,1,on,,61.8
4,1,,on,30.8
4,1,on,on,62.6
8,1,,,40
8,1,on,,37
8,1,,on,22.1
8,1,on,on,39.2
16,1,,,36
16,1,on,,26.3
16,1,,on,20.5
16,1,on,on,29.6
32,1,,,31.9
32,1,on,,21.5
32,1,,on,21.6
32,1,on,on,25.9
1,2,,,217.9
1,2,on,,227
1,2,,on,70.9
1,2,on,on,202.8
2,2,,,116.4
2,2,on,,120
2,2,,on,42.5
2,2,on,on,108.4
4,2,,,65.7
4,2,on,,67
4,2,,on,29.8
4,2,on,on,60.8
8,2,,,33.4
8,2,on,,36.7
8,2,,on,21.7
8,2,on,on,37.1
16,2,,,26.1
16,2,on,,24.3
16,2,,on,17.4
16,2,on,on,25.3
32,2,,,24.5
32,2,on,,19.2
32,2,,on,16.8
32,2,on,on,21
2,4,,,115.3
2,4,on,,121.3
2,4,,on,41.9
2,4,on,on,109
4,4,,,64.9
4,4,on,,67
4,4,,on,27.7
4,4,on,on,60.7
8,4,,,39.3
8,4,on,,39.4
8,4,,on,21.3
8,4,on,on,36.4
16,4,,,23
16,4,on,,24.2
16,4,,on,17.4
16,4,on,on,24.3
32,4,,,19.7
32,4,on,,18.2
32,4,,on,15.5
32,4,on,on,18.7
8,8,,,39.1
8,8,on,,40.6
8,8,,on,20.8
8,8,on,on,37.1
16,8,,,26.5
16,8,on,,26.3
16,8,,on,17.3
16,8,on,on,24.4
32,8,,,18.5
32,8,on,,18.4
32,8,,on,15.6
32,8,on,on,18.5
32,16,,,20.4
32,16,on,,20.6
32,16,,on,16.6
32,16,on,on,19.7